Target #,Provider / Agency Name,Program (HCS/TxHmL/HCSSA-PAS/Other),County,City,Owner / Contact Name,Phone / Email,Years Licensed,# Individuals Served,Census Trend (Up/Flat/Down),Compliance Flags (from HHSC search),Source (HHSC DB / Broker / Marketplace / Referral),Asking Price (if listed),Est. Revenue,Score: Census (0-5),Score: Compliance (0-5),Score: Owner Motivation (0-5),Score: Contract Type (0-5),Score: Payer Mix (0-5),Score: Workforce (0-5),TOTAL SCORE,Stage (Identified/Contacted/NDA/LOI/Diligence/Closed/Passed),Last Contact Date,Next Action,Notes
1,,,Bexar,San Antonio,,,,,,,,,,,,,,,,0,Identified,,,
2,,,Bexar,San Antonio,,,,,,,,,,,,,,,,0,Identified,,,
3,,,Bexar,San Antonio,,,,,,,,,,,,,,,,0,Identified,,,
4,,,Bexar,San Antonio,,,,,,,,,,,,,,,,0,Identified,,,
5,,,Bexar,San Antonio,,,,,,,,,,,,,,,,0,Identified,,,
6,,,,,,,,,,,,,,,,,,,,0,Identified,,,
7,,,,,,,,,,,,,,,,,,,,0,Identified,,,
8,,,,,,,,,,,,,,,,,,,,0,Identified,,,
9,,,,,,,,,,,,,,,,,,,,0,Identified,,,
10,,,,,,,,,,,,,,,,,,,,0,Identified,,,
